ID,STATION,lat,lon,annual_precip_sum,annual_avgwindspeed
1,USW00003179,33.9753,-117.6361,23122,22.4614
2,USW00023129,33.8117,-118.1464,30802,21.1476
3,USW00023130,34.2097,-118.4892,33785,22.2094
4,USW00023136,34.2167,-119.0833,29376,24.846
5,USW00023152,34.2006,-118.3575,31244,21.6532
6,USW00023155,35.4344,-119.0542,16447,23.8812
7,USW00023158,33.6186,-114.7142,8922,33.4892
8,USW00023161,34.8536,-116.7858,9121,47.0044
9,USW00023174,33.9381,-118.3889,28784,31.0938
10,USW00023179,34.7675,-114.6189,12282,35.3184
11,USW00023182,34.6294,-118.0836,14673,43.2578
12,USW00023187,34.7436,-118.7242,26936,58.1813
13,USW00023188,32.7336,-117.1831,25893,23.9088
14,USW00023190,34.4258,-119.8425,41482,21.8893
15,USW00023191,33.405,-118.4158,30430,30.153
16,USW00023199,32.8167,-115.6833,6484,32.4802
17,USW00023273,34.8994,-120.4486,32518,27.9958
18,USW00053120,33.0375,-116.9158,40759,21.162
19,USW00053121,33.2194,-117.3494,29662,18.2168
20,USW00093104,35.6875,-117.6931,7347,32.4611
21,USW00093107,32.8667,-117.1333,23303,20.4702
22,USW00093110,34.2008,-119.2069,31520,29.0936
23,USW00093111,34.1167,-119.1167,10172,23.9362
24,USW00093112,32.7,-117.2,19135,27.1608
25,USW00093115,32.5667,-117.1167,11005,27.0481
26,USW00093134,34.0511,-118.2353,32888,6.8539
27,USW00093138,33.8281,-116.5053,12804,27.1598
28,USW00093184,33.68,-117.8664,27434,20.0775
29,USW00093197,34.0158,-118.4514,32303,19.5349
30,USW00093206,35.2372,-120.6414,43600,28.3172
31,USW00093209,35.6697,-120.6283,30285,26.4123
